store_name,mall,owner_group,unit,level,scope_of_business,raw_category,subcategory,is_fnb,is_halal,description,website,source
Hundred Grains 百米香,Aperia Mall,CapitaLand,01-65-to-66,01,Food & Beverage,Food & Beverage,Fast Food,True,False,"Fast Casual Dining By Weight, Complimentary Rice, Porridge & Beverages.",,capitaland-api
Wang Fu Dim Sum,Aperia Mall,CapitaLand,01-43-43A,"01, 43A",Food & Beverage,Food & Beverage,Restaurant,True,False,"<div>Indulge in the delectable world of our signature Pan-Fried Soup Bun, d<span style=""font-size: 0.8125rem;"">ive into a culinary realm where the essence of nature's bounty shines. We take pride in sourcing the finest seasonal produce and locally-sourced ingredients, ensuring that every dish bursts with vibrant, unadulterated flavors, free from any artificial additives or compromises.</span></div>",,capitaland-api
Supergreen,Aperia Mall,CapitaLand,01-67,01,Food & Beverage,Food & Beverage,Restaurant,True,False,Supergreen,,capitaland-api
A HOT HIDEOUT,Aperia Mall,CapitaLand,01-58-to-59,01,Food & Beverage,Food & Beverage,Restaurant,True,False,"A Hot Hideout is more than just a restaurant — it’s a vibrant, energetic space where families and foodies alike come together to enjoy a fresh, modern take on a beloved classic: Mala. Known for offering “The Singaporean Kind of Mala,” A Hot Hideout reinvents the traditional Sichuan experience to suit the Singaporean palate. It’s not just about tweaking spice levels — it’s about reimagining bold flavors through a local lens, combining the punch of Sichuan mala with familiar tastes and cooking styles that resonate with our community.",,capitaland-api
Clippers Barber,Aperia Mall,CapitaLand,01-22,01,Beauty & Wellness,Beauty & Wellness,,False,False,Clippers Barber,,capitaland-api
EPIKebabs,Aperia Mall,CapitaLand,01-42,01,Food & Beverage,Food & Beverage,Fast Food,True,False,EPIKebabs,,capitaland-api
Banzai Izakaya Live House,Aperia Mall,CapitaLand,01-44-45,01,Food & Beverage,Food & Beverage,,True,False,Banzai Izakaya Live House,,capitaland-api
Steam By Local Coffee People,Aperia Mall,CapitaLand,01-70,01,Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,Steam By Local Coffee People,,capitaland-api
Luxe Floral,Aperia Mall,CapitaLand,l2-vending-machine-(vm-03),L2 VENDING MACHINE (VM,"Hobbies, Leisure & Entertainment",Hobbies & Leisure,,False,False,Luxe Floral,,capitaland-api
100 Island Beauty and Wellness,Aperia Mall,CapitaLand,03-02,03,Beauty & Wellness,Beauty & Wellness,Beauty Treatment & Spa,False,False,100 Island Beauty and Wellness,,capitaland-api
Martina's Kitchen,Aperia Mall,CapitaLand,01-60-to-61,01,Food & Beverage,Food & Beverage,Restaurant,True,False,MODERN PERANAKAN & WESTERN CUISINE,,capitaland-api
Nai Nai Flavour,Aperia Mall,CapitaLand,01-57,01,Food & Beverage,Food & Beverage,Restaurant,True,False,Nai Nai Flavour,,capitaland-api
Heritage Tanglin Puff,Aperia Mall,CapitaLand,01-42A,01,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,Heritage Tanglin Puff,,capitaland-api
KAZO,Sengkang Grand Mall,CapitaLand,01-11,01,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,"KAZO® (卡滋屋) established in Singapore since 2017, a collaboration with Nichifu (日芙洋菓子) in Taiwan, Taichung City. Our ingredients are specially flown in from Taiwan regularly to uphold the standard and taste of its Taiwanese counterparts.",,capitaland-api
Duke Bakery,Sengkang Grand Mall,CapitaLand,01-68,01,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,Duke Bakery has created over 60 different innovative kinds of delicious breads by ingeniously incorporating the Japanese style of light and soft bread textures together with the European style of baking using yeast from fermented fruits.,,capitaland-api
Stalford Learning Centre,Sengkang Grand Mall,CapitaLand,"02-16, 02-17",02,Kids & Children,Children,Enrichment & Play Centres,False,False,Stalford Learning Centre,,capitaland-api
SUKIYA,Sengkang Grand Mall,CapitaLand,"01-69, 01-70",01,Food & Beverage,Food & Beverage,Fast Food,True,False,"SUKIYA is Japan’s leading Gyudon restaurant chain with over 2,600 outlets worldwide. The 1st SUKIYA restaurant was opened in Yokohama, Japan in 1982. It has become a well-loved brand to many, over the past years. SUKIYA has expanded outside of Japan from 2008. There are over 600 stores in East Asia, South-east Asia & Latin America now. SUKIYA’s mission is to serve authentic Japanese food with reliable quality at affordable prices throughout the world. To achieve this, the brand adheres to the use of safe and high-quality ingredients and provide reasonable-priced meals at convenient locations.",,capitaland-api
SkinLab The Medical Spa / SL Aesthetic Clinic,Sengkang Grand Mall,CapitaLand,"01-40, 01-41",01,Beauty & Wellness,Beauty & Wellness,Beauty Treatment & Spa,False,False,"<div>At SkinLab The Medical Spa, we believe good skin is the foundation of beauty. We are rooted in science-based research and strive to create skincare solutions to help you look good and feel good, no matter your stage in life.</div><div><br></div><div>SL Aesthetic Clinic offers a continuously-updated array of minimal to non-invasive FDA-approved, CE-marked, and HSA-approved medical aesthetic treatments in Singapore. We hope to empower you to live amply, feel confident, and be the best version of yourself.</div>",,capitaland-api
City Hot Pot,Sengkang Grand Mall,CapitaLand,02-09,02,Food & Beverage,Food & Beverage,Restaurant,True,False,旺爐 CITY HOT POT,,capitaland-api
HOCKHUA TONIC,Sengkang Grand Mall,CapitaLand,b1-12,B1,Beauty & Wellness,Beauty & Wellness,Health & Personal Care,False,False,"Hockhua Tonic is renowned for the extensive range of traditional Chinese medicines and herbs, health supplements, tonics, range of bird’s nest products, seafood delicacies & more.",,capitaland-api
Le Shrimp Ramen,Sengkang Grand Mall,CapitaLand,"01-81, 01-82",01,Food & Beverage,Food & Beverage,Restaurant,True,False,"A brand new and innovative concept by Paradise Group, Le Shrimp Ramen beautifully incorporate Japanese ramen into Chinese La mian culture.",,capitaland-api
THE ETON ACADEMY,Sengkang Grand Mall,CapitaLand,"02-02, 02-03",02,Kids & Children,Children,Enrichment & Play Centres,False,False,THE ETON ACADEMY,,capitaland-api
Tree Art,Sengkang Grand Mall,CapitaLand,02-18,02,"Hobbies, Leisure & Entertainment",Hobbies & Leisure,,False,False,Tree Art,,capitaland-api
KOI Thé Express,Sengkang Grand Mall,CapitaLand,b1-05,B1,Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,"The only Milk Tea that’s so good you can actually tell them apart from the rest, KOI Café serves milk tea with a variety of standout toppings and exclusive flavours. Besides the bubble tea, try the Ovaltine Macchiato which exudes a malty aroma that balances the intense rich velvetiness of their Macchiato roast.",,capitaland-api
KARVA Salon for Ladies,Sengkang Grand Mall,CapitaLand,01-85,01,Beauty & Wellness,Beauty & Wellness,Beauty Treatment & Spa,False,False,"Karva has a highly motivated team of hair stylists, nail therapists and scalp consultants that are committed to deliver beauty treatments of the highest quality.",,capitaland-api
Dough Culture,Sengkang Grand Mall,CapitaLand,01-07,01,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,"Dough Culture, specializes in its wide varieties of dough fritters and known for its proud signatures of the four heavenly kings; You Tiao, Red Bean Bun, Salted Bun and Butterfly Bun.",,capitaland-api
Pierre Cardin,Sengkang Grand Mall,CapitaLand,01-27,01,Fashion & Accessories,Fashion,Apparel,False,False,"Pierre Cardin aims to be able to continually provide women with a complete suite of fashionable lingerie to suit all occasions, from everyday basics to fashion-forward pieces.",,capitaland-api
The Coffee Bean & Tea Leaf,Sengkang Grand Mall,CapitaLand,"01-71, 01-72",01,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,"The Coffee Bean & Tea Leaf® is the oldest and largest specialty coffee and tea retailer in the United States, known for sourcing and providing the finest ingredients and flavours from around the world. The Coffee Bean & Tea Leaf® is also Halal-certified.",,capitaland-api
Yolé,Sengkang Grand Mall,CapitaLand,01-58,01,Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,"Yolé, serves soft, creamy, frozen multi-flavoured yogurt with a wide variety of toppings. There are also blended smoothies & specialty dessert like coconut soft-serve ice cream.",,capitaland-api
Singtel Exclusive Retailer,Sengkang Grand Mall,CapitaLand,01-62,01,"Department, Value & Outlet",Outlet,,False,False,Check out the latest range of mobile phones and more at Singtel Exlusive Retailer! Get your mobile phone and sign up with Singtel for all your telecommunication needs. Stay connected and watch your favourite entertainment shows on the go.,,capitaland-api
Sanook Kitchen,Sengkang Grand Mall,CapitaLand,"01-15,-01-16, 01-16",01,Food & Beverage,Food & Beverage,Restaurant,True,False,Savour a wide variety of authentic Thai food classics at wallet-friendly prices!,,capitaland-api
Gado & Grill,Sengkang Grand Mall,CapitaLand,01-03,01,Food & Beverage,Food & Beverage,Food Kiosk & Light Bites,True,False,"Gado & Grill is a Halal Indonesian fast food restaurant, specializing in Indonesian Grill. A popular menu item at Gado & Grill is GadoMie ™, which is inspired by the all-time popular Indonesian Indomie Goreng and Gado Gado.",,capitaland-api
Old Chang Kee,Sengkang Grand Mall,CapitaLand,01-06,01,Food & Beverage,Food & Beverage,Breakfast,True,False,"Famous for its curry puffs that are filled with perfectly spiced curry potatoes, chicken and egg, Old Chang Kee has expanded its menu to include a variety of finger foods & light bites that can curb those hunger pangs on the go!",,capitaland-api
i Love Taimei,Sengkang Grand Mall,CapitaLand,01-09,01,Food & Beverage,Food & Beverage,,True,False,"Love all things Taiwanese? The food kiosk I Love Taimei serves up the best of Taiwanese street food culture. Their Signature Crispy Chicken comes in three flavors - Golden Original, Savory BBQ, and Tangy Lemon. Pair it with the Wintermelon Tea TaroQ and you are good to go!",,capitaland-api
Kebabs Faktory,Sengkang Grand Mall,CapitaLand,01-10,01,Food & Beverage,Food & Beverage,Restaurant,True,False,"Your one stop Kebab shop where you can feast on different varieties of mouth-watering Kebabs from all over the world that are generously portioned, great in value and provide a healthy Kebab kick.",,capitaland-api
The Alley,Sengkang Grand Mall,CapitaLand,01-12,01,Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,It's Time for Tea!,,capitaland-api
The Soup Spoon Union,Sengkang Grand Mall,CapitaLand,01-14,01,Food & Beverage,Food & Beverage,Food Kiosk & Light Bites,True,False,"For those who are into eating clean, The Soup Spoon Union incorporates healthy eating into bowls of liquid gold. With inventive recipes containing no preservatives or artificial flavoring, get some of their freshly baked bread to go with a bowl of wholesome soup that is full of flavour and nutrients.",,capitaland-api
JINJJA Chicken,Sengkang Grand Mall,CapitaLand,01-17,01,Food & Beverage,Food & Beverage,Fast Food,True,False,JINJJA Chicken,,capitaland-api
IPPUDO,Sengkang Grand Mall,CapitaLand,"01-18-to-19, 01-19",01,Food & Beverage,Food & Beverage,Restaurant,True,False,IPPUDO offers a piping hot bowl of ramen boiled to al dente and served in a flavorful broth that leaves your taste buds wanting more.,,capitaland-api
Clippers Barber,Sengkang Grand Mall,CapitaLand,01-29,01,Beauty & Wellness,Beauty & Wellness,Beauty Treatment & Spa,False,False,Clippers Barber,,capitaland-api
Kin Teck Tong,Sengkang Grand Mall,CapitaLand,01-30,01,Beauty & Wellness,Beauty & Wellness,,False,False,"Established in 1967, Kin Teck Tong is one of Singapore’s home grown TCM brand with multiple branches across Singapore currently.",,capitaland-api
McDonald's,Sengkang Grand Mall,CapitaLand,"01-34, 01-35, 01-36",01,Food & Beverage,Food & Beverage,Breakfast,True,False,"When a fast food craving hits, McDonald's is the convenient solution. Try local favourites like McSpicy or McNuggets with the signature Curry Sauce, or all-time favourites like Big Mac & Filet-O-Fish. McCafe also offers a cuppa and dessert.",,capitaland-api
Watsons,Sengkang Grand Mall,CapitaLand,01-44,01,Beauty & Wellness,Beauty & Wellness,Health & Personal Care,False,False,"Watsons is Singapore’s leading beauty and health retailer with close to 100 stores located islandwide. Aligned with its philosophy of bringing ‘more’ to customers’ lives, Watsons inspires and enables every one of our customers to look good and feel great so they can enjoy life to the fullest. A strong advocate of preventive care, Watsons has also enhanced its health platform by having pharmacies located within selected key stores, offering services such as medication dispensing and review, pre-travel consultation and minor ailments.",,capitaland-api
UNIQLO,Sengkang Grand Mall,CapitaLand,"01-53, 01-54, 01-55",01,Fashion & Accessories,Fashion,Apparel,False,False,"Apparel that comes from the Japanese values of simplicity, quality and longevity. Designed to be of the time and for the time, LifeWear is made with such modern elegance that it becomes the building blocks of each individual’s style. A perfect shirt that is always being made more perfect. The simplest design hiding the most thoughtful and modern details. The best in fit and fabric made to be affordable and accessible to all. LifeWear is clothing that is constantly being innovated, bringing more warmth, more lightness, better design, and better comfort to people’s lives.",,capitaland-api
Chateraise,Sengkang Grand Mall,CapitaLand,01-56,01,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,"Chateraise is a Japanese confectionery company. All sweets & ice creams are made from fresh ingredients such as pure natural water from Hakushu, & milk & eggs from contracted farms in Japan, with little or no preservatives. Our sweets are delivered directly from Japan to stores around the world.",,capitaland-api
N20 Nail Spa,Sengkang Grand Mall,CapitaLand,01-78,01,Beauty & Wellness,Beauty & Wellness,Beauty Treatment & Spa,False,False,"N20 Nail Spa provides premier nail care, manicure and pedicure services in Singapore. Pamper your nails with a new color today.",,capitaland-api
Guardian,Sengkang Grand Mall,CapitaLand,01-79,01,Beauty & Wellness,Beauty & Wellness,Health & Personal Care,False,False,"Guardian takes care of all your beauty and personal care needs with a range of health care, skin care and beauty products while our in-store specialists offer customers expert advice and support.",,capitaland-api
Sushi Express,Sengkang Grand Mall,CapitaLand,01-80,01,Food & Beverage,Food & Beverage,Restaurant,True,False,"Sushi Express is fast becoming the most recognisable sushi restaurant in Singapore for serving fresh, delicious sushi at affordable prices. Enjoy more than 60 sushi varieties with everything at $1.5++/plate!",,capitaland-api
7 Eleven,Sengkang Grand Mall,CapitaLand,01-84,01,Supermarket & Convenience,Convenience Store,,False,False,"<font color=""#000000"" face=""Times New Roman"" size=""3""> </font><a name=""_Hlk52886574""><span style=""color: rgb(127, 127, 127);"">Established in Singapore in 1983, 7-Eleven has since expanded to over 400 stores island-wide to become the leading 24-hour convenience chain store. </span></a><span style=""color: rgb(127, 127, 127);"">Think 7-Eleven and what comes to mind are the refreshing Slurpee and 7Cafe as well as a wide range of quality ready-to-eat meals and sandwiches under 7-Select.</span> <font color=""#000000"" face=""Times New Roman"" size=""3""> </font>",,capitaland-api
